"Date","RRP"
17/11/13,47.85
18/11/13,48.96
19/11/13,50.65
20/11/13,50.43
21/11/13,52
22/11/13,52.01
23/11/13,50.29
24/11/13,49.67
25/11/13,51.55
26/11/13,52.72
27/11/13,52.26
28/11/13,51.68
29/11/13,50.93
30/11/13,49.38
01/12/13,48.05
02/12/13,51.4
03/12/13,51.6
04/12/13,51.69
05/12/13,51.71
06/12/13,51.58
07/12/13,51.04
08/12/13,49.06
09/12/13,51.83
10/12/13,51.52
11/12/13,52.43
12/12/13,52.3
13/12/13,52.31
14/12/13,50.37
15/12/13,48.68
16/12/13,52.43
17/12/13,52.16
18/12/13,51.52
19/12/13,53.78
20/12/13,303.12
21/12/13,51.31
22/12/13,57.68
23/12/13,53.85
24/12/13,49.82
25/12/13,47.5
26/12/13,47.69
27/12/13,49.1
28/12/13,49.21
29/12/13,47.13
30/12/13,48.94
31/12/13,49.24
